,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
3089,Black Panther,BV,700100000.0,646900000.0,2018.0,42.0,200000000.0,1147000000.0
3090,Jurassic World: Fallen Kingdom,Uni.,417700000.0,891800000.0,2018.0,13.0,170000000.0,1139500000.0
1131,Frozen,BV,400700000.0,875700000.0,2013.0,56.0,150000000.0,1126400000.0
1883,Minions,Uni.,336000000.0,823400000.0,2015.0,73.0,74000000.0,1085400000.0
1882,Avengers: Age of Ultron,BV,459000000.0,946400000.0,2015.0,4.0,330600000.0,1074800000.0
3091,Incredibles 2,BV,608600000.0,634200000.0,2018.0,44.0,200000000.0,1042800000.0
1132,Iron Man 3,BV,409000000.0,805800000.0,2013.0,48.0,200000000.0,1014800000.0
3092,Aquaman,WB,335100000.0,812700000.0,2018.0,36.0,160000000.0,987800000.0
2770,Despicable Me 3,Uni.,264600000.0,770200000.0,2017.0,30.0,75000000.0,959800000.0
332,Transformers: Dark of the Moon,P/DW,352400000.0,771400000.0,2011.0,64.0,195000000.0,928800000.0
732,Skyfall,Sony,304400000.0,804200000.0,2012.0,52.0,200000000.0,908600000.0
2331,Captain America: Civil War,BV,408100000.0,745200000.0,2016.0,17.0,250000000.0,903300000.0
1133,Despicable Me 2,Uni.,368100000.0,602700000.0,2013.0,22.0,76000000.0,894800000.0
1483,Transformers: Age of Extinction,Par.,245400000.0,858600000.0,2014.0,37.0,210000000.0,894000000.0
2334,Zootopia,BV,341300000.0,682500000.0,2016.0,57.0,150000000.0,873800000.0
2771,Jumanji: Welcome to the Jungle,Sony,404500000.0,557600000.0,2017.0,38.0,90000000.0,872100000.0
0,Toy Story 3,BV,415000000.0,652000000.0,2010.0,47.0,200000000.0,867000000.0
2332,Rogue One: A Star Wars Story,BV,532200000.0,523900000.0,2016.0,45.0,200000000.0,856100000.0
3093,Bohemian Rhapsody,Fox,216400000.0,687200000.0,2018.0,84.0,55000000.0,848600000.0
2333,Finding Dory,BV,486300000.0,542300000.0,2016.0,46.0,200000000.0,828600000.0
733,The Dark Knight Rises,WB,448100000.0,636800000.0,2012.0,11.0,275000000.0,809900000.0
2336,The Secret Life of Pets,Uni.,368400000.0,507100000.0,2016.0,26.0,75000000.0,800500000.0
735,Ice Age: Continental Drift,Fox,161300000.0,715900000.0,2012.0,14.0,95000000.0,782200000.0
734,The Hobbit: An Unexpected Journey,WB (NL),303000000.0,718100000.0,2012.0,19.0,250000000.0,771100000.0
1135,The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013.0,38.0,130000000.0,735000000.0
2339,Deadpool,Fox,363100000.0,420000000.0,2016.0,56.0,58000000.0,725100000.0
1134,The Hobbit: The Desolation of Smaug,WB (NL),258399999.0,700000000.0,2013.0,21.0,250000000.0,708399999.0
1484,The Hobbit: The Battle of the Five Armies,WB (NL),255100000.0,700900000.0,2014.0,22.0,250000000.0,706000000.0
2772,Spider-Man: Homecoming,Sony,334200000.0,546000000.0,2017.0,99.0,175000000.0,705200000.0
1885,Inside Out,BV,356500000.0,501100000.0,2015.0,98.0,175000000.0,682600000.0
2775,Thor: Ragnarok,BV,315100000.0,538900000.0,2017.0,82.0,180000000.0,674000000.0
2776,Wonder Woman,WB,412600000.0,409300000.0,2017.0,55.0,150000000.0,671900000.0
3096,Deadpool 2,Fox,318500000.0,460500000.0,2018.0,15.0,110000000.0,669000000.0
3,Inception,WB,292600000.0,535700000.0,2010.0,38.0,160000000.0,668300000.0
2779,It,WB (NL),327500000.0,372900000.0,2017.0,24.0,35000000.0,665400000.0
333,Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000.0,2011.0,2.0,410600000.0,635100000.0
2777,Coco,BV,209700000.0,597400000.0,2017.0,2.0,175000000.0,632100000.0
5,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010.0,53.0,68000000.0,630500000.0
1487,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014.0,62.0,125000000.0,630300000.0
2337,Batman v Superman: Dawn of Justice,WB,330400000.0,543300000.0,2016.0,18.0,250000000.0,623700000.0
739,The Hunger Games,LGF,408000000.0,286400000.0,2012.0,38.0,80000000.0,614400000.0
1138,Gravity,WB,274100000.0,449100000.0,2013.0,16.0,110000000.0,613200000.0
1485,Guardians of the Galaxy,BV,333200000.0,440200000.0,2014.0,14.0,170000000.0,603400000.0
738,Madagascar 3: Europe's Most Wanted,P/DW,216400000.0,530500000.0,2012.0,97.0,145000000.0,601900000.0
4,Shrek Forever After,P/DW,238700000.0,513900000.0,2010.0,27.0,165000000.0,587600000.0
