title,studio,domestic_gross,foreign_gross,year,id,production_budget
Toy Story 3,BV,415000000.0,652000000,2010.0,47.0,"$200,000,000"
Alice in Wonderland (2010),BV,334200000.0,691300000,2010.0,,
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000,2010.0,,
Inception,WB,292600000.0,535700000,2010.0,38.0,"$160,000,000"
Shrek Forever After,P/DW,238700000.0,513900000,2010.0,27.0,"$165,000,000"
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010.0,53.0,"$68,000,000"
Iron Man 2,Par.,312400000.0,311500000,2010.0,15.0,"$170,000,000"
Tangled,BV,200800000.0,391000000,2010.0,15.0,"$260,000,000"
Despicable Me,Uni.,251500000.0,291600000,2010.0,50.0,"$69,000,000"
How to Train Your Dragon,P/DW,217600000.0,277300000,2010.0,30.0,"$165,000,000"
Clash of the Titans (2010),WB,163200000.0,330000000,2010.0,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010.0,48.0,"$155,000,000"
The King's Speech,Wein.,135500000.0,275400000,2010.0,,
Tron Legacy,BV,172100000.0,228000000,2010.0,,
The Karate Kid,Sony,176600000.0,182500000,2010.0,77.0,"$40,000,000"
The Karate Kid,Sony,176600000.0,182500000,2010.0,63.0,"$8,000,000"
Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010.0,,
Black Swan,FoxS,107000000.0,222400000,2010.0,46.0,"$13,000,000"
Megamind,P/DW,148400000.0,173500000,2010.0,47.0,"$130,000,000"
Robin Hood,Uni.,105300000.0,216400000,2010.0,39.0,"$210,000,000"
Robin Hood,Uni.,105300000.0,216400000,2010.0,9.0,"$99,000,000"
The Last Airbender,Par.,131800000.0,187900000,2010.0,83.0,"$150,000,000"
Little Fockers,Uni.,148400000.0,162200000,2010.0,70.0,"$100,000,000"
Resident Evil: Afterlife,SGem,60100000.0,240100000,2010.0,70.0,"$57,500,000"
Shutter Island,Par.,128000000.0,166800000,2010.0,52.0,"$80,000,000"
Salt,Sony,118300000.0,175200000,2010.0,50.0,"$130,000,000"
Sex and the City 2,WB (NL),95300000.0,193000000,2010.0,16.0,"$95,000,000"
The Tourist,Sony,67600000.0,210700000,2010.0,85.0,"$100,000,000"
The Expendables,LGF,103100000.0,171400000,2010.0,34.0,"$82,000,000"
Grown Ups,Sony,162000000.0,109400000,2010.0,34.0,"$75,000,000"
Knight & Day,Fox,76400000.0,185500000,2010.0,,
True Grit,Par.,171200000.0,81000000,2010.0,29.0,"$35,000,000"
Gulliver's Travels,Fox,42800000.0,194600000,2010.0,13.0,"$112,000,000"
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010.0,,
The Social Network,Sony,97000000.0,128000000,2010.0,91.0,"$40,000,000"
Valentine's Day,WB (NL),110500000.0,106000000,2010.0,70.0,"$52,000,000"
The Sorcerer's Apprentice,BV,63200000.0,152100000,2010.0,44.0,"$160,000,000"
Due Date,WB,100500000.0,111200000,2010.0,84.0,"$65,000,000"
Eat Pray Love,Sony,80600000.0,124000000,2010.0,67.0,"$60,000,000"
Yogi Bear,WB,100200000.0,101300000,2010.0,62.0,"$80,000,000"
Red,Sum.,90400000.0,108600000,2010.0,63.0,"$60,000,000"
Paranormal Activity 2,Par.,84800000.0,92800000,2010.0,65.0,"$3,000,000"
The A-Team,Fox,77200000.0,100000000,2010.0,32.0,"$110,000,000"
Jackass 3-D,Par.,117200000.0,54500000,2010.0,,
The Other Guys,Sony,119200000.0,51200000,2010.0,74.0,"$100,000,000"
Unstoppable,Fox,81600000.0,86200000,2010.0,19.0,"$95,000,000"
Step Up 3-D,BV,42400000.0,116900000,2010.0,,
The Book of Eli,WB,94800000.0,62300000,2010.0,64.0,"$80,000,000"
The Town,WB,92200000.0,61800000,2010.0,92.0,"$37,000,000"
Date Night,Fox,98700000.0,53600000,2010.0,99.0,"$55,000,000"
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010.0,90.0,"$100,000,000"
The Wolfman,Uni.,62000000.0,77800000,2010.0,91.0,"$150,000,000"
The Bounty Hunter,Sony,67099999.0,69300000,2010.0,73.0,"$45,000,000"
Saw 3D,LGF,45700000.0,90400000,2010.0,79.0,"$17,000,000"
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000,2010.0,,
The Fighter,Par.,93600000.0,35600000,2010.0,68.0,"$11,000,000"
Predators,Fox,52000000.0,75200000,2010.0,35.0,"$40,000,000"
A Nightmare on Elm Street (2010),WB (NL),63100000.0,52600000,2010.0,,
Dear John,SGem,80000000.0,35000000,2010.0,77.0,"$25,000,000"
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010.0,17.0,"$85,000,000"
Tooth Fairy,Fox,60000000.0,52400000,2010.0,23.0,"$48,000,000"
Life as We Know It,WB,53400000.0,52300000,2010.0,64.0,"$38,000,000"
Hereafter,WB,32700000.0,72500000,2010.0,61.0,"$50,000,000"
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000,2010.0,51.0,"$90,000,000"
Love and Other Drugs,Fox,32400000.0,70500000,2010.0,29.0,"$30,000,000"
Aftershock (Tangshan Dadizhen),CL,63000.0,100200000,2010.0,,
Killers,LGF,47100000.0,51100000,2010.0,54.0,"$75,000,000"
Kick-Ass,LGF,48100000.0,48100000,2010.0,54.0,"$28,000,000"
Green Zone,Uni.,35100000.0,59800000,2010.0,98.0,"$100,000,000"
Nanny McPhee Returns,Uni.,29000000.0,64200000,2010.0,,
Get Him to the Greek,Uni.,61000000.0,30300000,2010.0,22.0,"$40,000,000"
Burlesque,SGem,39400000.0,50100000,2010.0,24.0,"$55,000,000"
The Last Song,BV,63000000.0,26100000,2010.0,15.0,"$20,000,000"
Dinner for Schmucks,P/DW,73000000.0,13800000,2010.0,51.0,"$69,000,000"
Marmaduke,Fox,33600000.0,50100000,2010.0,59.0,"$50,000,000"
Piranha 3D,W/Dim.,25000000.0,58200000,2010.0,52.0,"$24,000,000"
Oceans,BV,19400000.0,63200000,2010.0,2.0,"$80,000,000"
Edge of Darkness,WB,43300000.0,37800000,2010.0,8.0,"$60,000,000"
Vampires Suck,Fox,36700000.0,43900000,2010.0,49.0,"$20,000,000"
Letters to Juliet,Sum.,53000000.0,26100000,2010.0,89.0,"$30,000,000"
The Back-Up Plan,CBS,37500000.0,40000000,2010.0,,
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000.0,75600000,2010.0,,
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010.0,13.0,"$15,000,000"
Easy A,SGem,58400000.0,16600000,2010.0,67.0,"$8,000,000"
Hubble 3D,WB,52400000.0,21500000,2010.0,,
Takers,SGem,57700000.0,11300000,2010.0,95.0,"$32,000,000"
Tales from Earthsea,BV,48500.0,68600000,2010.0,,
Legion (2010),SGem,40200000.0,27800000,2010.0,,
The American,Focus,35600000.0,32299999,2010.0,51.0,"$20,000,000"
The Last Exorcism,LGF,41000000.0,26700000,2010.0,15.0,"$1,800,000"
The Next Three Days,LGF,21100000.0,46300000,2010.0,49.0,"$30,000,000"
The Girl Who Played with Fire,MBox,7600000.0,59500000,2010.0,,
Skyline,Uni.,21400000.0,45400000,2010.0,99.0,"$10,000,000"
Hot Tub Time Machine,MGM,50300000.0,14300000,2010.0,10.0,"$36,000,000"
Devil,Uni.,33600000.0,29100000,2010.0,71.0,"$10,000,000"
127 Hours,FoxS,18300000.0,42400000,2010.0,6.0,"$18,000,000"
Tyler Perry's Why Did I Get Married Too?,LGF,60100000.0,578000,2010.0,,
