title,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count
Harry Potter and the Deathly Hallows: Part 1,0,"[12, 14, 10751]",12444,en,33.533,2010-11-19,7.7,10788
How to Train Your Dragon,1,"[14, 12, 16, 10751]",10191,en,28.734,2010-03-26,7.7,7610
Iron Man 2,2,"[12, 28, 878]",10138,en,28.515,2010-05-07,6.8,12368
Toy Story,3,"[16, 35, 10751]",862,en,28.005,1995-11-22,7.9,10174
Inception,4,"[28, 878, 12]",27205,en,27.92,2010-07-16,8.3,22186
Percy Jackson & the Olympians: The Lightning Thief,5,"[12, 14, 10751]",32657,en,26.691,2010-02-11,6.1,4229
Avatar,6,"[28, 12, 14, 878]",19995,en,26.526,2009-12-18,7.4,18676
Toy Story 3,7,"[16, 10751, 35]",10193,en,24.445,2010-06-17,7.7,8340
Despicable Me,8,"[16, 10751, 35]",20352,en,23.673000000000002,2010-07-09,7.2,10057
Megamind,9,"[16, 28, 35, 10751, 878]",38055,en,22.855,2010-11-04,6.8,3635
Toy Story 2,10,"[16, 35, 10751]",863,en,22.698,1999-11-24,7.5,7553
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713
The Expendables,12,"[53, 12, 28]",27578,en,21.517,2010-08-03,6.1,4647
Tangled,13,"[16, 10751]",38757,en,21.511,2010-11-24,7.5,6407
Saw 3D,14,"[27, 80]",41439,en,20.37,2010-10-28,6.0,1488
The Twilight Saga: Eclipse,15,"[12, 14, 18, 10749]",24021,en,20.34,2010-06-23,6.0,4909
The Book of Eli,16,"[28, 53, 878]",20504,en,18.985,2010-01-11,6.7,3495
LelleBelle,17,"[10402, 10749]",52371,nl,18.586,2010-10-09,4.5,36
The Bourne Supremacy,18,"[28, 18, 53]",2502,en,18.199,2004-07-23,7.3,4367
Shutter Island,19,"[18, 53, 9648]",11324,en,18.06,2010-02-18,8.1,12625
The Bourne Identity,20,"[28, 18, 9648, 53]",2501,en,17.935,2002-06-14,7.4,5406
Knight and Day,21,"[28, 35]",37834,en,17.713,2010-06-23,6.0,2494
The Chronicles of Narnia: The Voyage of the Dawn Treader,22,"[12, 10751, 14]",10140,en,17.382,2010-12-10,6.3,3196
Step Up 3D,23,"[18, 10749]",41233,en,17.174,2010-08-06,6.7,1160
The A-Team,24,"[53, 28, 12, 35, 80]",34544,en,17.097,2010-06-11,6.3,2703
The King's Speech,25,"[18, 36]",45269,en,16.798,2010-09-06,7.7,5013
Bad Boys,26,"[28, 35, 80, 53]",9737,en,16.608,1995-04-07,6.6,2936
The Last Airbender,27,"[28, 12, 10751, 14]",10196,en,16.595,2010-07-01,4.6,2143
Predators,28,"[28, 878, 12, 53]",34851,en,16.215999999999998,2010-07-03,6.1,1979
The Social Network,29,[18],37799,en,15.889000000000001,2010-10-01,7.2,6116
Undisputed III: Redemption,30,"[28, 53]",38234,en,15.886,2010-05-22,7.4,302
Apollo 13,31,"[18, 36]",568,en,15.855,1995-06-30,7.4,2821
Armageddon,32,"[28, 53, 878, 12]",95,en,15.799000000000001,1998-07-01,6.7,4267
The Bourne Ultimatum,33,"[28, 18, 9648, 53]",2503,en,15.62,2007-08-03,7.4,4440
Clash of the Titans,34,"[12, 14, 28]",18823,en,15.574000000000002,2010-04-02,5.7,3714
The Back-Up Plan,35,"[35, 10749]",34806,en,15.49,2010-04-23,6.0,806
Robin Hood,36,"[28, 12, 18]",20662,en,15.444,2010-05-14,6.3,2569
Nanny McPhee and the Big Bang,37,"[35, 14, 10751]",35019,en,15.213,2010-08-20,6.1,953
Shrek Forever After,38,"[35, 12, 14, 16, 10751]",10192,en,15.040999999999999,2010-05-16,6.1,3843
Easy A,39,[35],37735,en,14.69,2010-09-17,6.8,4168
The Sorcerer's Apprentice,40,"[14, 12, 28, 35, 18]",27022,en,14.463,2010-07-13,5.9,2879
Scott Pilgrim vs. the World,41,"[28, 35, 10749]",22538,en,14.383,2010-08-13,7.3,3882
Grown Ups,42,[35],38365,en,14.290999999999999,2010-06-24,6.1,3171
Some Like It Hot,43,"[35, 10749]",239,en,14.2,1959-03-18,8.2,1562
Faster,44,"[80, 18, 28, 53]",41283,en,14.172,2010-11-23,6.2,895
The Wolfman,45,[27],7978,en,14.03,2010-02-12,5.7,1009
Unstoppable,46,"[28, 53]",44048,en,14.01,2010-11-12,6.4,1913
Black Swan,47,"[18, 53]",44214,en,13.745,2010-12-03,7.6,8374
Tinker Bell and the Great Fairy Rescue,48,"[16, 12, 10751, 14]",44683,en,13.724,2010-09-21,6.5,451
Tres metros sobre el cielo,49,"[10749, 18]",61979,es,13.720999999999998,2010-12-20,7.5,960
Centurion,50,"[12, 28, 18]",23759,en,13.548,2010-02-15,6.1,673
The Other Guys,51,"[28, 35, 80]",27581,en,13.508,2010-08-06,6.2,2187
The Town,52,"[80, 18, 53]",23168,en,13.475999999999999,2010-09-17,7.1,2386
Jonah Hex,53,"[28, 37, 18, 14, 53]",20533,en,13.467,2010-06-18,4.6,708
TRON: Legacy,54,"[12, 28, 878]",20526,en,13.459000000000001,2010-12-10,6.3,4387
Prince of Persia: The Sands of Time,55,"[12, 14, 28, 10749]",9543,en,13.44,2010-05-27,6.2,4040
The Great Mouse Detective,56,"[35, 16, 10751]",9994,en,13.347999999999999,1986-07-02,7.1,769
The Lovely Bones,57,"[14, 18]",7980,en,13.285,2010-01-15,6.8,2226
All About Eve,58,[18],705,en,13.163,2000-10-06,8.2,685
True Grit,59,"[18, 12, 37]",44264,en,13.118,2010-12-22,7.2,2816
I Spit on Your Grave,60,"[53, 80, 27]",43947,en,13.102,2010-10-08,6.3,977
Kick-Ass,61,"[28, 80]",23483,en,13.08,2010-04-16,7.1,7540
Robot Chicken: Star Wars Episode III,62,"[35, 878, 16]",51888,en,13.062000000000001,2010-12-19,7.5,60
Salt,63,"[28, 9648, 53]",27576,en,13.025,2010-07-23,6.3,3240
Legend of the BoneKnapper Dragon,64,"[10770, 16, 14, 10751]",47626,en,13.013,2010-10-15,6.4,116
From Paris with Love,65,"[28, 80, 53]",26389,en,12.862,2010-02-05,6.2,1075
Batman: Under the Red Hood,66,"[28, 16, 9648]",40662,en,12.704,2010-07-27,7.7,756
Arthur 3: la guerre des deux mondes,67,"[16, 12, 14, 10751]",42949,en,12.679,2010-08-22,5.6,865
Tooth Fairy,68,"[35, 10751, 14]",23023,en,12.65,2010-01-22,5.3,1058
Machete,69,"[28, 35, 53]",23631,en,12.557,2010-09-03,6.3,1862
El secreto de sus ojos,70,"[80, 18, 9648, 10749]",25376,es,12.530999999999999,2010-04-16,7.9,1141
Date Night,71,[35],35056,en,12.498,2010-04-08,6.0,1743
Due Date,72,"[35, 18]",41733,en,12.445,2010-11-04,6.3,2973
Repo Men,73,"[28, 878, 53, 80]",31867,en,12.437000000000001,2010-03-19,6.2,976
Superman/Shazam!: The Return of Black Adam,74,"[16, 28]",43641,en,12.395,2010-11-09,7.1,140
サマーウォーズ,75,[16],28874,ja,12.275,2010-10-13,7.5,447
The Karate Kid,76,"[28, 12, 18, 10751]",38575,en,12.255999999999998,2010-06-10,6.3,3140
Diary of a Wimpy Kid,77,"[35, 10751]",33217,en,12.255999999999998,2010-03-19,6.0,736
The Crazies,78,"[9648, 27, 28]",29427,en,12.245999999999999,2010-02-26,6.2,1036
Luftslottet som sprängdes,79,"[28, 53, 80, 9648]",33613,sv,12.235,2010-10-29,7.0,705
Little Fockers,80,"[35, 10749]",39451,en,12.152999999999999,2010-12-21,5.6,1883
